,cloneID,plantID,site,transect,recorder,measurer,h_apical,l_length,l_width,stem_width,N_umbels,N_leaves,herb0,herb1,herb2,herb3,herb4,herb5,herb6,notes,herb_avg,alive,height_next,goodpods,badpods,totLA,repSuccess,repAllocation
418,NA,7202,SKY,72,sf,jh,78.8,15.6,8.6,10.6,0,14,9,1,3,1,0,0,0,NA,0.714285714,0,NA,NA,NA,1878.24,0,0
419,NA,7204,SKY,72,sf,jh,58.8,13.6,5.1,7.5,0,8,6,0,2,0,0,0,0,NA,0.5,0,NA,NA,NA,554.88,0,0
420,NA,7206,SKY,72,sf,jh,52.9,16.9,6.8,8.2,0,8,5,1,1,1,0,0,0,NA,0.75,0,NA,NA,NA,919.36,0,0
421,NA,7208,SKY,72,sf,jh,49.4,15,6.4,7.5,0,10,6,1,2,1,0,0,0,NA,0.8,0,NA,NA,NA,960,0,0
422,NA,7210,SKY,72,sf,jh,46.7,11.9,6.8,7.2,0,10,7,1,1,1,0,0,0,top chewed,0.6,0,NA,NA,NA,809.2,0,0
423,NA,7212,SKY,72,sf,jh,61.6,13.3,7.8,9.8,1,12,10,1,0,0,1,0,0,NA,0.416666667,0,NA,NA,NA,1244.88,0,0
424,NA,7214,SKY,72,sf,jh,108.5,20,11.1,15.4,7,20,14,0,1,1,4,0,0,NA,1.05,0,NA,NA,NA,4440,0,0
425,NA,7236,SKY,72,sf,jh,48.6,13.1,6.6,8.5,1,10,8,0,1,0,1,0,0,NA,0.6,0,NA,NA,NA,864.6,0,0
426,NA,7216,SKY,72,sf,jh,92.2,18.6,9.9,13,4,16,14,2,0,0,0,0,0,NA,0.125,0,NA,NA,NA,2946.24,0,0
427,NA,7237,SKY,72,sf,jh,40.3,14.6,5.2,8.7,0,2,1,1,0,0,0,0,0,mainly chewed off,0.5,0,NA,NA,NA,151.84,0,0
428,NA,7218,SKY,72,sf,jh,85.7,16.4,9.1,12.3,4,16,12,0,1,1,0,2,0,NA,0.9375,0,NA,NA,NA,2387.84,0,0
429,NA,7220,SKY,72,sf,jh,79.3,15.8,8.8,10.6,3,11,8,3,0,0,0,0,0,NA,0.272727273,0,NA,NA,NA,1529.44,0,0
430,NA,7222,SKY,72,sf,jh,87.4,22.5,11,12,4,12,11,1,0,0,0,0,0,NA,0.083333333,0,NA,NA,NA,2970,0,0
431,NA,7224,SKY,72,sf,jh,79,17.6,8.1,10.1,3,12,11,1,0,0,0,0,0,NA,0.083333333,0,NA,NA,NA,1710.72,0,0
432,NA,7226,SKY,72,sf,jh,46.9,11.7,4.4,5,0,9,7,1,1,0,0,0,0,NA,0.333333333,0,NA,NA,NA,463.32,0,0
433,NA,7228,SKY,72,sf,jh,66.8,15.1,7.2,8.9,0,8,8,0,0,0,0,0,0,NA,0,0,NA,NA,NA,869.76,0,0
434,NA,7234,SKY,72,sf,jh,61.2,9.9,4.2,6.9,0,4,0,1,1,1,1,0,0,main stem chewed  off formed shoot,2.5,0,NA,NA,NA,166.32,0,0
435,NA,7232,SKY,72,sf,jh,88.9,15.1,6.6,8.4,2,10,9,1,0,0,0,0,0,NA,0.1,1,94.3,1,0,996.6,0.5,0.011248594
436,NA,7230,SKY,72,sf,jh,71.6,14.9,5,7.3,1,15,13,2,0,0,0,0,0,NA,0.133333333,0,NA,NA,NA,1117.5,0,0
437,NA,7201,SKY,72,sf,jh,78.9,15.1,8.4,9,0,16,13,0,2,0,1,0,0,NA,0.5,0,NA,NA,NA,2029.44,0,0
438,NA,7203,SKY,72,sf,jh,51.6,13,6.7,6.9,0,10,7,0,2,1,0,0,0,NA,0.7,0,NA,NA,NA,871,0,0
439,NA,7205,SKY,72,sf,jh,31.6,11.8,4.3,6.4,0,4,3,0,1,0,0,0,0,NA,0.5,0,NA,NA,NA,202.96,0,0
440,NA,7207,SKY,72,sf,jh,96.4,17.1,10.2,14.5,5,17,10,1,1,0,0,5,0,NA,1.647058824,0,NA,NA,NA,2965.14,0,0
441,NA,7209,SKY,72,sf,jh,59.5,13.1,6.3,7.7,1,9,8,1,0,0,0,0,0,NA,0.111111111,0,NA,NA,NA,742.77,0,0
442,NA,7211,SKY,72,sf,jh,98.6,19.6,11.6,14,6,19,14,0,0,2,0,3,0,NA,1.105263158,0,NA,NA,NA,4319.84,0,0
443,NA,7213,SKY,72,sf,jh,54.5,13.1,6.6,7.1,0,13,9,1,2,1,0,0,0,primary stem chewed,0.615384615,0,NA,NA,NA,1123.98,0,0
444,NA,7300,SKY,73,sf,jh,105.7,17,9.5,13.4,4,22,20,0,0,2,0,0,0,NA,0.272727273,1,123.2,1,4,3553,0.25,0.009460738
445,NA,7324,SKY,73,sf,jh,62.1,13.7,6,8,0,13,13,0,0,0,0,0,0,NA,0,1,79.7,0,0,1068.6,0,0
446,NA,7319,SKY,73,sf,jh,55.3,13.6,5.7,5.4,0,10,10,0,0,0,0,0,0,NA,0,0,NA,NA,NA,775.2,0,0
447,NA,7330,SKY,73,sf,jh,119.4,21.1,9.5,14.7,5,18,17,1,0,0,0,0,0,NA,0.055555556,1,139.9,0,0,3608.1,0,0
448,NA,7334,SKY,73,sf,jh,108.4,19.9,9.3,15.5,5,20,19,1,0,0,0,0,0,NA,0.05,1,123.2,3,1,3701.4,0.6,0.027675277
449,NA,7335,SKY,73,sf,jh,106.6,20.9,9.6,12.5,6,21,21,0,0,0,0,0,0,NA,0,1,116.3,2,3,4213.44,0.333333333,0.018761726
450,NA,7343,SKY,73,sf,jh,118.7,20.2,9.5,15,8,22,21,1,0,0,0,0,0,umbel 8 is 0,0.045454545,1,139.9,3,4,4221.8,0.375,0.025273799
451,NA,7347,SKY,73,sf,jh,24.9,9,3.3,3.9,NA,3,3,0,0,0,0,0,0,NA,0,0,NA,NA,NA,89.1,0,0
452,NA,7352,SKY,73,sf,jh,25,8.4,2.1,1.5,0,6,5,1,0,0,0,0,0,NA,0.166666667,0,NA,NA,NA,105.84,0,0
453,NA,7235,SKY,72,ak,yy,60.2,11.7,4.1,5.2,0,6,6,0,0,0,0,0,0,NA,0,0,NA,NA,NA,287.82,0,0
454,NA,7231,SKY,72,ak,yy,98.5,18.1,6.9,9.9,4,14,14,0,0,0,0,0,0,NA,0,1,103.4,2,0,1748.46,0.5,0.020304569
455,NA,7229,SKY,72,ak,yy,78.8,17,6.7,8.1,3,13,13,0,0,0,0,0,0,NA,0,1,90.4,1,1,1480.7,0.333333333,0.012690355
456,NA,7227,SKY,72,ak,yy,91.2,17.1,7.8,10.4,4,12,12,0,0,0,0,0,0,NA,0,1,92,1,0,1600.56,0.25,0.010964912
457,NA,7225,SKY,72,ak,yy,24.8,NA,NA,1.2,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
458,NA,7223,SKY,72,ak,yy,90.7,17,7.6,10.2,3,15,14,1,0,0,0,0,0,NA,0.066666667,1,87.8,1,0,1938,0.333333333,0.011025358
459,NA,7221,SKY,72,ak,yy,63.2,15.9,5.7,5.6,0,12,8,4,0,0,0,0,0,NA,0.333333333,0,NA,NA,NA,1087.56,0,0
460,NA,7219,SKY,72,ak,yy,83.6,17.5,7.2,10.7,3,12,11,1,0,0,0,0,0,NA,0.083333333,1,87.5,1,0,1512,0.333333333,0.011961722
461,NA,7217,SKY,72,ak,yy,76.7,15.3,5,8.2,2,13,12,1,0,0,0,0,0,NA,0.076923077,0,NA,NA,NA,994.5,0,0
462,NA,7215,SKY,72,ak,yy,72.8,14.4,5.9,9.4,1,14,12,0,2,0,0,0,0,NA,0.285714286,0,NA,NA,NA,1189.44,0,0
463,NA,7305,SKY,73,yy,ak,109.4,23.6,13.1,15.7,6,20,16,0,3,1,0,0,0,NA,0.45,1,137.5,3,0,6183.2,0.5,0.027422303
464,NA,7301,SKY,73,yy,ak,40.8,9.7,2.9,2.5,0,10,9,1,0,0,0,0,0,NA,0.1,0,NA,NA,NA,281.3,0,0
465,NA,7310,SKY,73,ak,yy,116.1,18.3,9.5,14.8,7,25,25,0,0,0,0,0,0,NA,0,1,132.1,1,7,4346.25,0.142857143,0.008613264
466,NA,7308,SKY,73,ak,yy,77.4,17.9,7.9,10.6,3,11,10,0,1,0,0,0,0,NA,0.181818182,0,NA,NA,NA,1555.51,0,0
467,NA,7307,SKY,73,ak,yy,62.7,14.8,7.1,8.1,3,8,7,1,0,0,0,0,0,NA,0.125,0,NA,NA,NA,840.64,0,0
468,NA,7318,SKY,73,ak,yy,73.9,16.1,6.6,9,3,12,12,0,0,0,0,0,0,NA,0,1,80,1,2,1275.12,0.333333333,0.0135318
