,cloneID,plantID,site,transect,recorder,measurer,h_apical,l_length,l_width,stem_width,N_umbels,N_leaves,herb0,herb1,herb2,herb3,herb4,herb5,herb6,notes,herb_avg,alive,height_next,goodpods,badpods,totLA,repSuccess,repAllocation
44,44,4263,BLD1,42,ss,ks,35.4,9.9,3.3,8.6,0,8,8,0,0,0,0,0,0,NA,0,1,49.8,0,0,261.36,0,0
45,45,4265,BLD1,42,ss,ks,50.4,15.7,7,11.1,0,13,13,0,0,0,0,0,0,NA,0,1,73.4,0,0,1428.7,0,0
46,46,4300,BLD1,43,rd,ak,51.7,10.2,3.9,5.6,0,8,6,0,2,0,0,0,0,under a bush,0.5,1,55.7,0,0,318.24,0,0
47,47,4302,BLD1,43,ss,mw,28.7,7.7,3.3,6.3,0,8,5,3,0,0,0,0,0,NA,0.375,1,44.6,0,0,203.28,0,0
48,48,4305,BLD1,43,rd,ak,71.6,15.4,7.2,9.7,2,14,14,0,0,0,0,0,0,NA,0,1,99,0,0,1552.32,0,0
49,49,4306,BLD1,43,rd,ak,68.8,14.7,6.7,12.8,3,14,11,2,1,0,0,0,0,NA,0.285714286,1,83.5,0,1,1378.86,0,0
50,50,4311,BLD1,43,ss,yy,90.6,16.2,6.8,13.4,3,16,16,0,0,0,0,0,0,NA,0,1,120.7,3,0,1762.56,1,0.033112583
51,51,4314,BLD1,43,rd,ak,78,18.1,7.7,11.9,5,18,15,1,2,0,0,0,0,NA,0.277777778,1,109.2,2,2,2508.66,0.4,0.025641026
52,52,4316,BLD1,43,rd,ak,35.9,8.1,3.7,6.5,0,6,5,1,0,0,0,0,0,NA,0.166666667,1,53,0,0,179.82,0,0
53,53,4318,BLD1,43,ss,mw,35.7,11.6,5,5,0,8,7,0,1,0,0,0,0,NA,0.25,1,49.9,0,0,464,0,0
