TranYr,PlantID,x,y
402013,4000,-14.13297702,-5.143982956
402013,4001,-13.21016303,-5.070906486
402013,4002,-12.96305967,-4.463539398
402013,4003,-13.01411115,-4.995649217
402013,4004,-12.75270863,-4.895306191
402013,4005,-11.95916526,-4.590693434
402013,4006,-12.35695796,-4.497564885
402013,4007,-11.96080998,-4.118437154
402013,4008,-9.65322364,-3.136522493
402013,4009,-10.02413568,-3.257039121
402013,4010,-9.725619368,-2.973420237
402013,4011,-7.675026087,-2.493767145
402013,4012,-7.465793653,-2.425783406
402013,4013,-6.831565353,-2.486486442
402013,4014,-7.066349916,-2.295996268
402013,4015,-6.330870021,-2.818684937
402013,4016,-6.266921839,-2.790213371
402013,4017,-6.09374213,-2.586640071
402013,4018,-5.883232747,-2.619383981
402013,4019,-5.887039836,-1.912815195
402013,4020,-5.862885078,-2.250550723
402013,4021,-5.709139393,-1.745459077
402013,4022,-4.934532541,-1.508637996
402013,4023,-4.973427708,-1.712488492
402013,4024,-3.875628512,-1.56585556
402013,4025,-3.667079709,-1.788554279
402013,4026,-3.365677392,-1.359821934
402013,4027,-2.831990919,-1.260883594
402013,4028,-1.848867886,-0.862141254
402013,4029,-1.50941916,-1.312118058
402013,4031,-0.728319985,-0.728319985
402013,4032,-0.205410996,-0.043661455
402013,4033,-0.555531816,-0.855443979
402013,4034,0.19951281,-0.013951295
402013,4035,0.183525907,0.049175619
402013,4036,0.669413329,-0.204660193
402013,4037,0.623538291,0.36
402013,4038,0.662763494,0.281326413
402013,4039,1.339795912,-0.023386225
402013,4040,1.390745079,0.506189812
402013,4041,1.40978525,0.024607893
402013,4042,1.677402996,0.20595919
402013,4043,1.373837916,0.858469208
402013,4044,1.894540464,0.368261361
402013,4045,2.104911471,0.766125121
402013,4046,2.067323766,0.752444315
402013,4047,2.114308397,0.769545322
402013,4048,3.098496806,0.715344353
402013,4049,2.902085465,1.172518637
402013,4050,3.240017507,0.571302505
402013,4051,3.827755468,1.704226534
402013,4053,4.133425293,1.18524063
402013,4054,4.450641652,1.276200957
402013,4055,5.173237276,2.195908942
402013,4056,6.219363173,1.783373692
402013,4057,6.368989675,1.947195553
402013,4058,8.939733772,2.563427409
402013,4059,8.922323373,2.727828005
402013,4060,9.084895182,2.777531195
402013,4061,9.324238451,2.673682351
402013,4062,9.765251261,3.748528752
402013,4063,9.781789666,3.952099561
402013,4064,10.00358653,3.444511074
402013,4065,10.51935232,3.216088752
402013,4066,10.87224362,3.957173058
402013,4067,-1.906753962,-0.971539669
402013,4068,11.6028895,3.770007331
402013,4069,12.78921657,4.654894151
402013,4070,13.21017501,4.292246052
402013,4071,13.31544444,4.846425431
402013,4072,13.32430179,4.329328091
402013,4073,13.72890919,4.996914294
402013,4074,14.43367866,5.253429401
402013,4075,14.39609095,5.239748596
402013,4076,15.92253281,5.482567721
402013,4077,15.96980874,5.498846129
402013,4079,16.12991852,5.240928225
402013,4080,16.28208756,5.290370944
402013,4081,16.6244679,5.401617062
402013,4082,17.41645216,5.996965405
402013,4083,17.15170696,5.905806322
402013,4084,17.66622127,6.429978695
402013,4085,17.52045921,6.032777902
402013,4090,10.08776034,4.075719736
402013,A,-12.69972716,-3.882696239
402013,AA,-4.233827467,-0.370411907
402013,AB,-4.405731996,-0.463061092
402013,AC,-3.921122712,-0.621044826
402013,AD,-3.871738295,-0.613223103
402013,AE,-3.749815841,-0.728890362
402013,AF,-2.66675852,-0.422373056
402013,AG,-2.869562885,-0.050088406
402013,AH,-2.45962533,-0.04293292
402013,AI,-2.062123025,-0.180412387
402013,AJ,-1.989043791,-0.209056927
402013,AK,-1.966076677,0.417902499
402013,AL,-2.00449938,0.690204487
402013,AM,-1.064140508,0.925043231
402013,AN,-1.169799849,1.016891495
402013,AO,-0.471987798,1.296775817
402013,AP,0.534922332,0.660574067
402013,AQ,1.045706947,1.61024749
402013,AR,1.026701821,1.466282159
402013,AS,1.046624508,1.339618281
402013,AT,1.575354163,1.521301831
402013,AU,1.732411614,1.732411614
402013,AV,1.835697791,1.711815884
402013,AW,2.044506906,1.540646459
402013,AX,2.465647653,1.726465073
402013,AY,2.393609561,1.938306804
402013,AZ,2.511983845,1.694354498
402013,B,-12.33298756,-3.536427275
402013,BC,3.050858267,2.057829885
402013,BD,2.767612874,1.797308816
402013,BE,3.274405591,2.467441595
402013,BF,3.664990382,2.380072583
402013,BG,4.078864857,2.751229085
402013,BH,3.769610938,2.089529463
402013,BI,3.703031471,1.806089125
402013,BJ,3.779303472,1.762318151
402013,BK,3.981657625,1.94198418
402013,BL,4.252184733,2.455
402013,BM,4.070574481,2.745637156
402013,BN,4.441226392,2.361441961
402013,BO,5.265848558,2.683083853
402013,BP,5.308735725,3.065
402013,BQ,5.500763504,2.924807836
402013,BR,5.791306759,2.700530693
402013,BS,5.982398797,3.316097802
402013,BT,6.176587567,2.621805872
402013,BU,6.632340022,2.952908029
402013,BV,6.604447995,3.51164729
402013,BX,6.727099258,3.427628273
402013,BY,6.887939181,3.211898789
402013,BZ,7.023452032,2.98127851
