number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
48,50_BLDY_43?_4337_150619_381,BLD,2.78,45.22,90.59,24.33,26.07,19.37,0.066,0.2435,0.005,2.36
49,51_BLDY_43?_4352_150619_375,BLD,2.22,44.89,79.67,24.13,25.23,19.35,0.0631,0.1941,0.0036,1.99
50,52_BLDY_43?_4359_150619_366,BLD,3.14,45.47,57.53,25.36,26.87,19.06,0.0463,0.2897,0.0121,1.04
51,53_BLDY_NA_1713_150619_90,BLD,2.59,45,62.21,31.71,29.22,19.36,0.0419,0.2733,0.0005,0.62
52,54_BLDY_NA_1715_150619_92,BLD,2.61,45.58,69.16,33.31,28.51,19.58,0.0486,0.288,-0.0058,0.67
53,55_BLDY_NA_1716_150619_243,BLD,2.32,45.44,89.09,30.03,25.32,19.96,0.0649,0.1877,-0.0124,1.52
54,56_BLDY_NA_1717_150619_239,BLD,2.34,45.9,92.47,31.86,26.06,20.47,0.0538,0.2823,-0.0213,0.22
55,57_BLDY_NA_1721_150619_233,BLD,2.23,45.61,63.78,31.6,27.74,20.61,0.0474,0.2128,-0.0311,0.99
56,58_BLDY_NA_1722_150619_236,BLD,2.42,45.18,58.05,26.26,24,17.97,0.0421,0.2682,-0.017,1.61
57,59_BLDY_NA_1724_150619_99,BLD,2.36,45.02,64.67,27.26,25.72,18.1,0.0331,0.2331,-0.0061,0.7
58,60_BLDY_NA_1726_150619_105,BLD,1.7,45.55,66.32,26.52,23.83,18.05,0.0393,0.1871,-0.0106,1.21
59,61_BLDY_NA_1727_150619_108,BLD,2.22,45.44,65.02,29.12,25.76,18.77,0.0384,0.1892,-0.0095,0.33
60,62_BLDY_NA_1729_150619_111,BLD,2.2,45.31,80.01,28.8,26.41,18.3,0.0448,0.2056,-0.0026,1.06
61,63_BLDY_NA_1730_150619_163,BLD,2.27,45.14,56.13,27.41,24.34,18.49,0.0397,0.2165,-0.0014,1.79
62,64_BLDY_NA_1731_150619_117,BLD,2.27,45.14,66.81,30.88,29.58,18.91,0.0366,0.2443,0.011,0.92
63,65_BLDY_NA_1732_150619_120,BLD,2.26,45.09,78.33,29.02,25.89,18.83,0.0437,0.2368,0.0094,1.08
64,66_BLDY_NA_1734_150619_224,BLD,2.23,45.5,49.58,29.31,24.49,19.85,0.046,0.2017,-0.017,1.97
65,67_BLDY_NA_1735_150619_123,BLD,2.18,45.85,71.45,31.11,25.2,20.15,0.0446,0.2201,-0.0065,1.28
66,68_BLDY_NA_1737_150619_126,BLD,1.74,45.89,83.45,27.15,21.83,18.44,0.049,0.1702,-0.025,1.2
67,69_BLDY_NA_1741_150619_129,BLD,2.15,45.26,84.8,27.33,26.19,19.3,0.0483,0.1617,0.0013,1.91
68,70_BLDY_NA_1744_150619_132,BLD,1.8,45.45,90.56,29.41,28.35,17.92,0.0413,0.233,-0.0078,0.56
69,71_BLDY_NA_1747_150619_193,BLD,2.15,45.29,83.03,24.48,21.36,19.09,0.0573,0.1777,-0.0262,2.92
70,72_BLDY_NA_1749_150619_138,BLD,2.21,45.68,56.25,30.43,26.5,19.45,0.0355,0.217,-0.0071,0.97
71,73_BLDY_NA_1750_150619_135,BLD,2.54,46.12,116.9,32.85,31.17,21.21,0.0578,0.2608,0.0054,1.96
72,74_BLDY_NA_1753_150619_145.3333333,BLD,2.34,45.38,94.23,27.49,24.1,18.72,0.066,0.2008,0.0031,2.25
73,75_BLDY_NA_1754_150619_96,BLD,2.11,44.55,88.66,28.38,25.07,20.44,0.0378,0.1482,-0.0079,1.54
74,76_BLDY_NA_1756_150619_149,BLD,1.99,43.8,8.93,19.08,7.66,23.26,0.0993,0.1517,-0.0303,3.65
75,77_BLDY_NA_1759_150619_179,BLD,2.19,46.09,73.62,29.25,24.09,20.31,0.0498,0.2144,-0.0099,2.11
76,78_BLDY_NA_1760_150619_162,BLD,1.97,45.46,85.87,26.06,22.22,18.3,0.0557,0.1464,-0.0269,2.59
77,79_BLDY_NA_1761_150619_165,BLD,2.26,45.49,58.07,26.66,21.77,17.7,0.0449,0.2175,-0.0091,1.48
78,80_BLDY_NA_1762_150619_168.5,BLD,2.35,45.67,92.38,30.88,26.74,19.03,0.0586,0.2153,-0.0072,1.68
79,81_BLDY_NA_1763_150619_102,BLD,2.5,45.35,80.12,27.53,27.85,19.87,0.0511,0.1889,-0.006,2.63
80,82_BLDY_NA_1765_150619_174,BLD,2.32,45.97,68.95,30.32,27.05,20.39,0.0452,0.2675,-0.0046,0.74
81,83_BLDY_NA_1766_150619_190,BLD,2.21,45.06,76.96,25.47,26.03,16.78,0.0436,0.2452,-0.0267,1.59
82,84_BLDY_NA_1770_150619_205,BLD,2.63,45.29,62.79,27.86,26.02,18.6,0.0416,0.2954,-0.0001,1.61
