number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
203,208_pwr_81_1907_150613_452,PWR,3.2,43.42,19.57,26.16,23.58,18.18,0.0359,0.2957,0.0108,3.64
204,209_pwr_81_8112_150613_468,PWR,2.07,44.54,58.22,30.8,25.56,19.6,0.0507,0.2551,-0.0052,1.61
205,210_pwr_81_8117_150613_423,PWR,2.61,44.71,37.36,29.61,22.48,19.75,0.0519,0.3346,0.0361,2.08
206,211_pwr_81_8118_150613_459,PWR,2.86,43.84,61.26,30.06,27.4,18.97,0.0494,0.3208,0.0067,3.32
207,212_pwr_81_8121_150613_429,PWR,2.77,43.94,44.38,25.8,22.67,18.74,0.0555,0.2903,0.0193,2.45
208,213_pwr_81_8126_150613_413,PWR,3,44.41,37.31,28.36,22.25,19.41,0.0521,0.3354,0.0048,1.51
209,214_pwr_81_8133_150613_471,PWR,2.54,43.79,41.05,25.07,22.56,17.14,0.04,0.2844,-0.0056,2.55
210,215_pwr_81_8188_150613_365,PWR,2.77,43.27,15.81,23.97,19.55,18.13,0.0406,0.2945,0.0307,2.41
211,216_pwr_81_851_150613_455.6666667,PWR,3.25,45.16,66.27,31.75,27.3,21.82,0.0656,0.3234,0.0152,2.85
212,217_pwr_81_859_150613_436,PWR,2.95,44.85,66.61,29.7,23.88,20.28,0.0618,0.3237,0.0088,1.63
213,218_pwr_81_868_150613_465,PWR,2.65,45.44,77.98,35.25,30.15,22.39,0.0581,0.3111,-0.0241,2.33
214,219_pwr_81_870_150613_384,PWR,2.67,45.22,54.43,31.57,23.87,20.08,0.0547,0.3307,-0.0156,0.9
215,220_pwr_81_871_150613_390,PWR,3.11,42.97,13.99,21.23,18,15.25,0.0445,0.2784,-0.0016,2.56
216,221_pwr_82_1809_150613_122,PWR,2.4,46.42,78.6,36.27,30.33,22,0.0608,0.3059,0.02,0.55
217,222_pwr_82_1810_150613_73,PWR,2.51,46.05,53.03,32,25.83,21.62,0.0464,0.2851,0.0083,NA
218,223_pwr_82_1820_150613_12,PWR,2.34,45.53,43.9,26.92,27.29,18.99,0.0378,0.2649,-0.0031,1.4
219,224_pwr_82_1821_150613_116,PWR,2.56,45.8,56.99,34.9,28.35,21.69,0.0651,0.278,0.0179,0.56
220,225_pwr_82_1822_150613_147,PWR,2.76,47.38,100.14,44.26,34.59,25.1,0.0682,0.4318,0.03,0.17
221,226_pwr_82_1823_150613_5,PWR,2.27,47.45,76.35,37.78,30.62,23.54,0.0557,0.3813,0.0286,0.41
222,227_pwr_82_1824_150613_144,PWR,2.99,46.69,73.96,39.73,32.2,23.15,0.0678,0.3922,0.0243,0.76
223,228_pwr_82_1826_150613_128,PWR,2.92,46.07,70.73,36.09,29.9,21.93,0.0575,0.3387,0.0257,0.34
224,229_pwr_82_1827_150613_104,PWR,2.28,46.2,53.02,31.18,23.45,21.58,0.049,0.27,0.006,0.62
225,230_pwr_82_1828_150613_22,PWR,2.39,46.8,64.01,35.83,29.9,22.86,0.0526,0.2951,0.0158,0.28
226,231_pwr_82_1829_150613_137,PWR,3.09,46.24,67.64,37.17,30.4,21.99,0.0654,0.356,0.0066,0.6
227,232_pwr_82_1831_150613_81,PWR,2.68,45.95,71.6,33.68,28,21.35,0.0638,0.2895,0.0092,0.58
228,233_pwr_82_1832_150613_18.33333333,PWR,2.68,47.13,69.72,36.76,30.72,22.92,0.0525,0.3823,0.0233,NA
229,234_pwr_82_1833_150613_48,PWR,2.34,45.7,42.2,28.79,22.33,20.17,0.0402,0.2613,0.0236,0.15
230,235_pwr_82_1834_150613_89,PWR,2.3,46.78,68.58,32.08,25.7,22.11,0.0519,0.2726,0.0098,0.99
231,236_pwr_82_1835_150613_45,PWR,2.81,44.89,43.28,27.98,25.31,19.27,0.0516,0.2386,0.0034,1.31
232,237_pwr_82_1836_150613_51,PWR,2.8,45.67,53.32,29.34,26.14,20.52,0.0594,0.2402,0.0119,1.85
233,238_pwr_82_1837_150613_92,PWR,2.82,45.93,52.2,31.27,25.8,21.07,0.0494,0.3173,0.0222,0.88
234,239_pwr_82_1838_150613_85,PWR,2,46.65,84.75,33.33,25.57,22.46,0.064,0.2372,-0.0262,0.67
235,240_pwr_82_1839_150613_101,PWR,2.56,46.03,71.26,29.56,25,20.52,0.0351,0.2748,0.0075,0.36
236,241_pwr_82_1840_150613_82,PWR,2.66,45.28,40.65,29.22,25.65,20.12,0.0495,0.2341,-0.0047,1.41
237,242_pwr_82_1842_150613_38,PWR,2.81,45.72,50.6,34.87,29.76,22.5,0.0527,0.2658,0.023,NA
238,243_pwr_82_1843_150613_110.5,PWR,2.44,45.48,51.78,29.66,25.28,19.37,0.0462,0.2822,0.0079,0.72
239,244_pwr_82_1844_150613_98,PWR,2.53,45.44,44.32,27,23.98,19.3,0.0403,0.1661,-0.0211,1.42
240,245_pwr_82_1845_150613_95,PWR,2.32,46.2,70.5,31.92,23.82,22.19,0.0589,0.2757,0.0163,0.38
241,246_pwr_82_1846_150613_34.33333333,PWR,2.15,46.6,64.76,34.76,29.41,22.66,0.0579,0.2861,0.0168,0.2
242,247_pwr_82_1847_150613_31,PWR,2.45,46.43,59.48,32.91,27.92,21.81,0.0504,0.3193,0.0243,NA
243,248_pwr_82_185_150613_131,PWR,3.28,44.87,38.18,31.4,29.78,19.68,0.0596,0.2935,0.0242,1.25
244,249_pwr_82_1903_150613_140.6666667,PWR,2.72,46.62,62.27,39.02,30.59,23.13,0.0652,0.349,0.0141,0.92
245,250_pwr_82_1904_150613_42,PWR,3.05,44.77,24.63,26.44,24.3,18.45,0.039,0.2532,0.0211,1.19
246,251_pwr_82_1905_150613_54,PWR,3.08,44.17,13.25,24.4,22.47,18,0.0364,0.2246,0.0284,0.91
247,252_pwr_82_1908_150613_76,PWR,3.14,45.21,27.06,30.3,26.78,20.18,0.0383,0.3076,0.0234,0.88
248,253_pwr_82_8203_150613_15,PWR,2.7,47.38,79.6,36.6,30.16,23.04,0.0517,0.4151,0.0334,0.22
249,254_pwr_82_8214_150613_57,PWR,3,45.75,48.84,34.02,27.69,21.76,0.047,0.3265,0.027,0.35
250,255_pwr_82_8218_150613_70,PWR,2.51,45.68,43.87,28.84,23.74,20.18,0.0416,0.2602,0.0081,0.66
251,256_pwr_82_8222_150613_79,PWR,2.04,45.83,58.37,30.64,23.04,21.03,0.0539,0.2313,0.0133,0.92
252,257_pwr_82_8229_150613_67,PWR,2.75,45.36,48.85,30.28,25.91,20.72,0.0549,0.2546,0.0136,1.22
253,258_pwr_82_901_150613_9,PWR,2.3,47.03,82.44,36.14,29.66,22.71,0.0511,0.3497,0.0147,0.64
254,259_pwr_82_905_150613_25,PWR,2.7,47.9,107.75,40.67,33.6,24.32,0.0592,0.4272,0.0313,NA
255,260_pwr_82_908_150613_2,PWR,2.26,47.01,62.88,33.45,26.29,22.7,0.0479,0.3815,0.0274,0.9
256,261_pwr_82_916_150613_125,PWR,2.86,46.18,68.84,38.02,30.98,22.13,0.0594,0.344,0.0206,0.12
257,262_pwr_82_919_150613_119,PWR,2.57,46.5,76.06,36.51,30.92,22.46,0.0593,0.2986,-0.0047,0.52
258,263_pwr_82_925_150613_60.66666667,PWR,2.71,45.49,38.64,30.65,25,20.33,0.0397,0.2748,0.0054,0.4
259,264_pwr_82_928_150613_64,PWR,2.5,46.26,72.18,33.24,24.89,21.59,0.0454,0.2999,-0.0137,0.59
260,265_pwr_82_932_150613_107,PWR,2.68,45.69,72.19,31.95,27.86,20.73,0.0543,0.299,0.0125,0.49
261,266_pwr_83_1000_150613_356,PWR,2.7,43.03,28.91,20.24,19.74,14.59,0.0451,0.2835,0.0177,2.16
262,267_pwr_83_1002_150613_349,PWR,3.22,42.42,8.82,20.06,24,14.8,0.0286,0.3241,0.0328,3.64
263,268_pwr_83_1004_150613_293,PWR,2.32,45.09,43.87,23.44,24.15,17.31,0.0401,0.2284,-0.0199,1.87
264,269_pwr_83_1008_150613_240,PWR,2.08,44.27,52.53,23.49,22.67,17.03,0.0496,0.1966,-0.0267,3.19
265,270_pwr_83_185_150613_162,PWR,4.12,44.56,37.1,29.1,30.08,18.78,0.0438,0.3285,0.0317,3.55
266,271_pwr_83_1858_150613_268.6666667,PWR,2.64,45.16,40.91,24.04,24.97,18,0.0365,0.2758,0.0125,2.53
267,272_pwr_83_1864_150613_290,PWR,1.79,44.11,37.76,19.26,22.19,15.14,0.0346,0.2277,0.0087,3.17
268,273_pwr_83_1867_150613_323,PWR,2.91,44.04,38.1,23.95,25.7,16.97,0.0377,0.3227,0.0156,2.64
269,274_pwr_83_1868_150613_308,PWR,2.57,44.39,40.01,25.01,27.02,17.61,0.0398,0.2587,0.0134,2.32
270,275_pwr_83_1869_150613_198,PWR,2.78,44.12,55.53,24.05,22.03,15.75,0.0494,0.2769,0.0021,2.19
271,276_pwr_83_1871_150613_192,PWR,2.76,44.31,43.41,24.43,22.26,17.08,0.0448,0.2612,0.0116,2.4
272,277_pwr_83_1875_150613_165,PWR,2.93,43.81,27.12,24.47,23.6,17.42,0.0417,0.2664,0.0294,1.69
273,278_pwr_83_1876_150613_201,PWR,2.57,43.62,17.77,20.25,19.89,15.84,0.0363,0.2229,0.0137,2.38
274,279_pwr_83_1877_150613_326,PWR,2.66,43.77,36.95,20.49,22.31,15.68,0.0317,0.2414,0.0112,2.29
275,280_pwr_83_1878_150613_248,PWR,1.97,44.56,50.97,20.05,21.76,15.37,0.0346,0.1848,-0.0459,2.06
276,281_pwr_83_1879_150613_214,PWR,2.48,43.5,34.91,20.15,22.06,15.25,0.0355,0.2215,0.0199,3.45
277,282_pwr_83_1880_150613_278,PWR,2.55,44.81,45.06,25.6,23.18,17.75,0.0439,0.3076,0.0285,1.18
278,283_pwr_83_1881_150613_255,PWR,2.57,44.68,39.95,24.4,25.93,17.47,0.0368,0.3014,0.017,2.59
279,284_pwr_83_1882_150613_252.5,PWR,2.62,44.97,37.22,25.62,24.91,18.21,0.0416,0.2788,-0.0087,2.34
280,285_pwr_83_1883_150613_336,PWR,2.28,43.46,36.34,20.72,20.17,15.46,0.0356,0.2399,0.007,1.69
281,286_pwr_83_1884_150613_305,PWR,2.91,45.66,59.48,29.83,26.46,19.37,0.0442,0.3025,-0.0167,2.82
282,287_pwr_83_1885_150613_302,PWR,2.33,45.52,68.73,26.98,24.57,19.12,0.0524,0.2408,-0.0178,2.42
283,288_pwr_83_1886_150613_360,PWR,2.93,43.64,16.85,24.46,24.56,16.56,0.0427,0.2896,0.0285,2.56
284,289_pwr_83_1888_150613_224,PWR,2.78,45.05,53.97,28.96,27.21,18.2,0.0447,0.2958,-0.0012,1.84
285,290_pwr_83_1889_150613_329,PWR,2.66,44.91,46.91,26.88,28.72,18.53,0.0398,0.2914,0.0121,2.44
286,291_pwr_83_1891_150613_227,PWR,2.91,44.9,37.6,26.14,25.73,17.69,0.0427,0.2696,-0.006,2.33
287,292_pwr_83_1901_150613_284,PWR,2.44,44.27,43.49,22.31,22.13,16.19,0.0432,0.2408,-0.0176,2.89
288,293_pwr_83_1902_150613_287,PWR,2.32,45.07,39.21,25.46,25.5,18.05,0.0389,0.2283,-0.0206,2.36
289,294_pwr_83_8309_150613_174,PWR,3.04,44.66,45.34,30.2,25.84,18.52,0.0491,0.3251,0.0303,0.91
290,295_pwr_83_8310_150613_157.6666667,PWR,2.79,45.2,41.49,26.2,22.79,17.9,0.0423,0.2934,-0.0116,1.27
291,296_pwr_83_8312_150613_170,PWR,2.91,44.24,43.39,20.89,23.23,15.22,0.0401,0.2356,-0.008,2.52
292,297_pwr_83_8313_150613_177,PWR,2.77,44.67,50.29,25.39,21.52,17.19,0.0434,0.3041,-0.0146,1.19
293,298_pwr_83_8318_150613_239.5,PWR,2.24,44.11,42.99,20.54,20.86,15.94,0.0404,0.1979,-0.0237,2.59
294,299_pwr_83_8321_150613_207,PWR,2.34,45.04,46.13,26.04,22.7,18.05,0.0373,0.2415,-0.0072,1.94
295,300_pwr_83_8323_150613_204,PWR,2.69,45.01,58.5,27.41,26.9,18.51,0.0456,0.2563,-0.0189,2.76
296,301_pwr_83_8324_150613_211,PWR,2.5,43.94,40.02,20.92,19.54,15.18,0.0353,0.2459,-0.0131,2.11
297,302_pwr_83_8326_150613_218,PWR,2.69,44.24,45.66,25.63,25.03,16.61,0.0383,0.2749,0.002,2.41
298,303_pwr_83_8330_150613_221,PWR,2.68,44.17,37.21,26.7,26.74,17.88,0.0377,0.272,0.0079,2.81
299,304_pwr_83_8332_150613_236,PWR,2.49,44.69,51.19,25.99,25.58,17.68,0.0509,0.2276,-0.0134,2.71
300,305_pwr_83_8334_150613_243,PWR,2.32,44.97,38.05,24.3,23.93,17.53,0.0338,0.2111,-0.0315,2.43
301,306_pwr_83_8335_150613_258,PWR,2.99,44.4,33.85,23.89,25.14,16.7,0.0424,0.2733,0.0152,2.48
302,307_pwr_83_8336_150613_233,PWR,2.39,45.16,48,27.45,24.18,18.5,0.0454,0.2091,-0.0071,2.12
303,308_pwr_83_8339_150613_265,PWR,2.05,44.64,62.93,22.89,23.3,16.32,0.0484,0.2048,-0.0248,2.83
304,309_pwr_83_8341_150613_272,PWR,2.29,44,36.17,21.34,22.14,15.75,0.0432,0.2114,-0.0165,2.02
305,310_pwr_83_8345_150613_281,PWR,2.56,44.02,44.9,20.73,21.78,15.19,0.0391,0.2227,-0.0309,2.13
306,311_pwr_83_8351_150613_299,PWR,2.2,45.1,48.97,23.73,24.16,17.74,0.0384,0.229,-0.0031,2.31
307,312_pwr_83_8353_150613_311,PWR,2.75,44.1,25.28,22.85,25.19,16.6,0.0348,0.2748,0.0301,2.32
308,313_pwr_83_8355_150613_314,PWR,2.82,44.79,48.81,26.27,28.03,17.96,0.0362,0.3255,0.0221,1.81
309,314_pwr_83_8357_150613_317,PWR,2.38,43.91,30.28,19.57,22.16,15.63,0.0366,0.2566,-0.0054,2.26
310,315_pwr_83_8359_150613_346,PWR,2.62,43.5,27.15,23.42,25.23,16.92,0.0322,0.2606,-0.0067,3.19
311,316_pwr_83_8366_150613_342.3333333,PWR,2.83,43.43,25.95,23.14,25.99,17.27,0.032,0.2898,0.0019,2.9
312,317_pwr_83_8367_150613_332,PWR,2.48,44.24,40.2,21.54,24.16,15.53,0.0373,0.2619,0.0031,1.82
313,318_pwr_83_8393_150613_339,PWR,2.9,41.8,NA,18.23,24.69,14.06,0.0331,0.2621,0.0316,3.57
314,319_pwr_83_943_150613_151,PWR,2.53,45.16,64.05,25.87,20.85,17.35,0.0467,0.3147,-0.0114,0.77
315,320_pwr_83_944_150613_154,PWR,3.51,43.25,19.64,22.05,22.08,15,0.0289,0.2963,0.0036,2.6
316,321_pwr_83_955_150613_180,PWR,3.07,43.08,26.33,21.96,22.2,14.64,0.03,0.2745,0.0205,2.09
317,322_pwr_83_956_150613_186,PWR,2.32,44.69,46.9,23.48,22.45,17.04,0.0413,0.2178,-0.004,2.64
318,323_pwr_83_958_150613_189,PWR,2.82,45.27,46.38,26.79,25.07,17.85,0.0384,0.2852,0.0071,1.74
319,324_pwr_83_960_150613_195,PWR,2.73,45.13,38.31,28.02,25.61,18.32,0.0354,0.2597,-0.0088,1.48
320,325_pwr_83_968_150613_342.6666667,PWR,2.88,45.19,41.23,25.73,24.75,17.97,0.0446,0.2881,0.0012,2.29
321,326_pwr_83_969_150613_261,PWR,2.52,44.5,33.59,22.16,22.21,16.17,0.0437,0.2839,0.0042,2.7
322,327_pwr_83_984_150613_320,PWR,2.38,43.69,31.05,19.89,20.43,15.25,0.0377,0.2406,-0.0115,2.11
323,328_pwr_83_996_150613_352,PWR,2.94,42.41,NA,19.43,22.56,15.87,0.0287,0.2726,0.0293,4.12
324,329_RWF_NA_10_150616_20,RWF,2.69,43.88,28.97,23.66,22.91,18.07,0.06,0.3346,0.0354,1.51
325,330_RWF_NA_6_150616_3.5,RWF,3.03,37.7,53.88,-0.86,27.21,28.45,0.0159,0.1026,0.007,NA
326,331_RWF_NA_7_150616_9,RWF,2.44,43.88,29.59,20.26,23.46,18.05,0.0503,0.2525,-0.012,2.24
327,332_RWF_NA_8_150616_13,RWF,3,43.43,NA,21.85,22.91,17.51,0.0679,0.2496,0.0393,1.51
328,333_RWF_NA_9_150616_17,RWF,2.75,43.74,30.91,22.59,24.2,18.3,0.0568,0.3138,0.0095,2.25
329,334_SKY_NA_1681_150619_50,SKY,2.73,44.64,41.19,28.71,27.02,19.17,0.0456,0.2871,-0.0024,0.42
330,335_SKY_NA_1700_150619_79,SKY,2.62,45.39,52.62,28.25,27.61,18.26,0.0436,0.2477,-0.0161,1.1
331,336_SKY_NA_1701_150619_82,SKY,2.44,46.02,92.07,30.09,28.6,18.89,0.0597,0.2831,0.0091,1.39
332,337_SKY_NA_1705_150619_76,SKY,2.57,45.44,90.69,27.32,26.47,17.35,0.0415,0.2666,0.0027,0.82
333,338_SKY_NA_1711_150619_73,SKY,2.45,45.51,89.85,28.07,28.08,17.77,0.045,0.2734,-0.012,1.14
334,339_SKY_NA_52_150619_43,SKY,3.05,46.23,59.15,32.57,30.62,21.96,0.0596,0.29,0.005,1.68
335,340_SKY_NA_53_150619_47,SKY,2.94,45.63,75.95,30.85,25.98,20.81,0.0695,0.2582,-0.0039,0.73
336,341_SKY_NA_54_150619_53,SKY,2.41,44.79,39.31,25.29,21.99,18.36,0.0441,0.2269,-0.0134,1.17
337,342_SKY_NA_55_150619_56,SKY,2.71,45.02,29.72,23.87,22.77,18.25,0.035,0.2479,-0.0068,0.9
338,343_SKY_NA_56_150619_59,SKY,2.46,45.17,34.89,26.86,21.81,18.92,0.0458,0.1897,-0.0205,0.42
339,344_SKY_NA_57_150619_63,SKY,2.56,45.58,93.54,30.45,28.37,19.92,0.0641,0.2526,-0.0042,1
340,345_SKY_NA_58_150619_68.33333333,SKY,2.72,45.61,66.39,26.7,20.58,20.26,0.0508,0.3356,0.0082,1.62
341,346_SKY_NA_7009_150619_85,SKY,2.92,45.88,86.89,30.45,29.22,18.06,0.0451,0.3628,0.0259,1.6
342,347_SNP_1_103_150620_2,SNP1,2.59,43.7,74.74,24.01,26.78,18.04,0.06,0.2021,0.0195,1.4
343,348_SNP_1_104_150620_6,SNP1,3.54,43.57,34.4,25.42,28.76,17.89,0.0471,0.2861,0.0372,1.12
344,349_SNP_1_105_150620_9.666666667,SNP1,3.25,43.58,11.7,22.44,24.99,17.32,0.0328,0.2905,0.0309,0.93
345,350_SNP_1_106_150620_13,SNP1,2.75,43.99,27.54,23.3,25.18,17.84,0.0345,0.2413,0.0206,1.23
346,351_SNP_1_107_150620_18,SNP1,3.07,43.08,9.77,20.89,26.81,17.06,0.0371,0.2803,0.0357,1.35
347,352_SNP_10_145_150620_156,SNP10,2.64,44.74,44.19,23.41,24.39,18.41,0.0451,0.2265,-0.0127,0.72
348,353_SNP_10_146_150620_160.5,SNP10,3.18,37.98,63,0.13,25.21,28.11,0.0206,0.0767,-0.0088,NA
349,354_SNP_10_147_150620_164,SNP10,2.79,45.08,55,22.84,27.36,18.26,0.0362,0.2768,-0.0062,0.61
350,355_SNP_10_148_150620_167,SNP10,2.32,45.12,48.81,23.14,25.01,18.87,0.0424,0.2013,-0.0068,0.42
351,356_SNP_10_149_150620_170,SNP10,2.72,45.09,33.4,22.53,23.32,18.89,0.0394,0.2716,0.0247,NA
352,357_SNP_2_108_150620_22,SNP2,3.01,43.75,25.58,20.84,22.95,16.09,0.0324,0.2632,-0.0156,1.72
353,358_SNP_2_109_150620_27,SNP2,2.83,44.35,25.56,18.47,24.64,17.18,0.0318,0.2398,-0.0124,1.69
354,359_SNP_2_110_150620_31,SNP2,3.34,43.67,24.45,17.18,25.14,15.73,0.0313,0.2698,0.0009,1.67
355,360_SNP_2_111_150620_34,SNP2,3.23,44.35,6.34,20.4,25.77,18.07,0.0344,0.2788,0.0246,1.4
356,361_SNP_2_112_150620_37,SNP2,3.23,42.9,14.01,23.15,24.87,16.73,0.0455,0.2999,-0.0066,0.98
357,362_SNP_3_113_150620_41,SNP3,3.23,44.23,43.65,23,24.75,16.63,0.035,0.2962,-0.0057,0.79
358,363_SNP_3_114_150620_45,SNP3,3.2,44.15,52.6,22.03,23.44,15.04,0.0439,0.3044,-0.0155,0.95
359,364_SNP_3_115_150620_48,SNP3,3.09,44.15,42.19,22.82,23.54,16.09,0.045,0.2831,-0.0296,0.5
360,365_SNP_3_116_150620_51,SNP3,2.91,43.45,45.36,19.88,22.07,14.21,0.0412,0.3034,0.005,1.24
361,366_SNP_3_117_150620_54,SNP3,3.01,43.94,21.01,21.15,21.29,16.81,0.0359,0.2508,-0.0167,0.64
362,367_SNP_4_118_150620_58,SNP4,3.01,44.47,57.41,28.95,29.4,18.38,0.0502,0.2575,0.0027,0.34
363,368_SNP_4_119_150620_62,SNP4,2.48,45.33,60.38,24.73,21.66,17.98,0.0458,0.2156,-0.0277,NA
364,369_SNP_4_120_150620_65,SNP4,2.65,44.85,60.12,23.75,25.01,17.5,0.0563,0.2239,-0.0018,0.73
365,370_SNP_4_121_150620_68,SNP4,2.99,44.94,167.29,25.89,25.21,18.18,-0.1152,0.25,0.0205,NA
366,371_SNP_4_122_150620_71,SNP4,2.94,44.52,51.31,25.4,26.9,17.93,0.047,0.2768,0.015,0.64
367,372_SNP_5_123_150620_76,SNP5,2.79,44.53,42.18,22.02,30.1,17.76,0.0326,0.2891,-0.0017,1.26
368,373_SNP_5_124_150620_80,SNP5,3.23,43.3,8.3,17.71,22.94,15.93,0.0361,0.278,0.0016,1.67
369,374_SNP_6_125_150620_84,SNP6,2.99,44.74,37.29,21.55,20.53,16.86,0.0434,0.3149,0.0078,1.09
370,375_SNP_6_126_150620_89,SNP6,2.17,44.34,60.31,14.92,17.99,14.68,0.0417,0.2402,-0.0177,1.41
371,376_SNP_6_127_150620_92,SNP6,2.47,43.99,55.32,18.4,20.92,14.18,0.0462,0.2255,-0.0395,0.78
372,377_SNP_6_128_150620_95,SNP6,2.87,44.72,36.82,24.09,25.09,17.65,0.0416,0.2598,-0.0334,NA
373,378_SNP_6_129_150620_98,SNP6,2.86,44.81,37.97,24.56,23.18,17.3,0.046,0.2812,-0.0117,0.62
374,379_SNP_7_130_150620_102,SNP7,2.48,43.2,32.76,13.48,18.26,13.16,0.0314,0.2268,0.0008,1.26
375,380_SNP_7_131_150620_106,SNP7,2.79,43.69,29.94,17.98,21.52,15.5,0.0353,0.2833,-0.0098,0.65
376,381_SNP_7_132_150620_109,SNP7,2.44,43.85,33.63,16.71,18.27,14.73,0.0363,0.1699,-0.0455,0.67
377,382_SNP_7_133_150620_112,SNP7,2.6,43.62,25.6,15.63,19.3,14.47,0.031,0.2119,-0.0224,1.4
378,383_SNP_7_134_150620_115.6666667,SNP7,2.24,44.32,35.15,15.12,15.48,14.42,0.0373,0.1947,-0.0399,1.95
379,384_SNP_8_135_150620_121,SNP8,2.64,45.98,94.39,33.75,30.43,20.49,0.0594,0.3754,-0.02,0.58
380,385_SNP_8_136_150620_126,SNP8,2.49,45.56,83.31,22.73,24.19,16.78,0.0463,0.282,-0.0281,0.21
381,386_SNP_8_137_150620_129,SNP8,2.43,44.17,39.83,19.8,24.4,16.56,0.0323,0.1986,-0.0214,0.9
382,387_SNP_8_138_150620_132,SNP8,2.36,45.14,52.6,23.87,23.89,17.63,0.0369,0.2422,-0.0021,0.47
383,388_SNP_8_139_150620_135,SNP8,2.2,43.6,40.73,14.01,18.91,14.49,0.03,0.1785,-0.0145,1.75
384,389_SNP_9_140_150620_139,SNP9,2.39,45.34,99.2,28.89,27.58,18.63,0.0719,0.232,-0.0205,0.9
385,390_SNP_9_141_150620_143,SNP9,2.49,45.65,74.57,24.47,27.08,18.14,0.0456,0.262,-0.011,0.57
386,391_SNP_9_142_150620_146,SNP9,2.83,45.4,64.6,22.34,22.57,17.58,0.0424,0.3031,0.0121,NA
387,392_SNP_9_143_150620_149,SNP9,2.66,44.89,74.19,21.96,24.9,17.1,0.0415,0.2692,0.0122,0.9
388,393_SNP_9_144_150620_152,SNP9,2.34,45.78,132.16,27.19,24.52,18.6,0.0669,0.2332,-0.0202,0.81
389,394_STEELE CREEK_NA_170_150622_20,SteeleCreek,2.95,44.25,60.5,23.9,25.36,16.89,0.0464,0.2427,-0.0213,2.43
390,395_STEELE CREEK_NA_171_150622_25,SteeleCreek,3.2,45.22,58.45,26.61,27.03,17.6,0.0389,0.3023,-0.0232,2.04
391,396_STEELE CREEK_NA_172_150622_29,SteeleCreek,2.89,45.32,60.19,25.2,24.54,16.85,0.0582,0.2631,-0.0269,2.26
392,397_STEELE CREEK_NA_173_150622_33,SteeleCreek,2.77,45.36,50.64,28.75,27.62,18.68,0.0474,0.2804,-0.0259,1.88
393,398_STEELE CREEK_NA_174_150622_36,SteeleCreek,2.56,44.6,31.9,24.94,24.8,16.94,0.0456,0.2584,0.0191,1.72
394,399_STUART_NA_175_150622_40,Stuart,3.1,43.9,34.49,27.31,24.54,16.89,0.0453,0.2667,-0.0008,0.14
395,400_STUART_NA_176_150622_44,Stuart,3.03,45.44,56.39,29.62,27.66,19.07,0.0514,0.296,0.0111,0.34
396,401_STUART_NA_177_150622_47.5,Stuart,3.17,44.3,45.08,27.18,25.37,17.91,0.0434,0.2485,-0.0129,NA
397,402_STUART_NA_178_150622_51,Stuart,2.69,43.96,63.9,23.08,21.97,16.16,0.0573,0.1706,-0.0332,0.64
398,403_STUART_NA_179_150622_54,Stuart,2.8,44.17,63.33,26.01,23.44,17.67,0.0661,0.203,-0.0411,0.86
399,404_TURNER POND_NA_46_150619_4,TurnerPond,1.71,43.5,63.78,20.88,20.72,12.8,0.0444,0.1821,0.002,1.73
400,405_TURNER POND_NA_47_150619_8,TurnerPond,2.22,44.07,49.23,24.05,24.64,14.38,0.043,0.2022,0.0047,1.47
401,406_TURNER POND_NA_48_150619_17,TurnerPond,2.17,43.88,43.32,22.49,23,14.54,0.0433,0.1974,0.0043,1.41
402,407_TURNER POND_NA_49_150619_26,TurnerPond,2.41,44,43.56,23.99,25.94,14.97,0.0384,0.2167,0.0145,1.22
403,408_TURNER POND_NA_50_150619_30,TurnerPond,2.12,43.48,58.09,20.23,20.14,12.31,0.0431,0.2092,0.0077,1.67
404,409_YTB_60_1202_150615_13,YTB,2.89,45.25,34.96,26.03,26.22,21.99,0.0668,0.2641,0.017,2.33
405,410_YTB_60_1203_150615_20,YTB,2.19,45.73,83.26,26.52,21.14,20.86,0.0959,0.2066,-0.022,0.74
406,411_YTB_60_1204_150615_23,YTB,1.61,44.73,52.78,22.31,21.66,19.29,0.0556,0.1911,-0.0051,2.13
407,412_YTB_60_1205_150615_32,YTB,2.31,45.88,49.42,30.25,27.4,21.51,0.0573,0.3394,0.0029,NA
408,413_YTB_60_1206_150615_35,YTB,2.46,45.32,36.81,28.81,26.66,20.53,0.0584,0.3196,0.0137,NA
409,414_YTB_60_1208_150615_65,YTB,2.43,45.23,36.69,28.81,24.12,20.85,0.0627,0.3084,0.0201,NA
410,415_YTB_60_1209_150615_68,YTB,2.14,45.57,74.13,28.3,23.93,20.94,0.0747,0.2592,-0.0019,0.9
411,416_YTB_60_1210_150615_40,YTB,2.01,44.8,76.51,25.14,24.34,20.16,0.0743,0.1755,-0.0112,1.14
412,417_YTB_60_1212_150615_9,YTB,2.62,44.32,16.71,22.41,22.91,19.63,0.0498,0.2574,-0.0096,0.52
413,418_YTB_60_1213_150615_2,YTB,2.55,45.08,40.73,27.33,28.59,19.54,0.0588,0.3413,0.0198,1.04
414,419_YTB_60_1214_150615_25.66666667,YTB,2.41,44.29,12.38,21.77,22.96,19.7,0.0507,0.2424,-0.0259,1.04
