"","sensitivity","pars","type","name","lambda","elasticity"
"1",0.0474871312163607,-9.47646044799067,"Flowering","(Intercept)",2.24863852028033,-0.20012550559006
"2",3.35167461954408,0.160329692532554,"Flowering","h_apical",2.24863852028033,0.238977032712966
"3",0.00923305925567026,0.18985904381223,"Flowering","herb_avg",2.24863852028033,0.000779573855883551
"4",0.0527600984948974,-1.21049673237095,"Flowering","Cardenolides",2.24863852028033,-0.0284020425033371
"5",0.197759647762112,-1.33779890649208,"Survival","(Intercept)",2.24863852028033,-0.117654588827123
"6",0.138457679371477,0.0146400372379886,"Survival","h_apical",2.24863852028033,0.000901445725314361
"7",-0.0420563647616642,0.370545940201397,"Survival","herb_avg",2.24863852028033,-0.00693033365812884
"8",-0.0963048393591018,-0.303259977478986,"Survival","Cardenolides",2.24863852028033,0.0129880383848969
"9",-0.202264578135378,0.023918873232393,"Survival","LMA",2.24863852028033,-0.00215149778863543
"10",0.660535925818244,0.413331457808888,"Pods","(Intercept)",2.24863852028033,0.121415814365558
"11",0.676854029249712,0.0291290520511227,"Pods","h_apical",2.24863852028033,0.0087680238825443
"12",-0.113340949215668,-2.06050304652797,"Pods","herb_avg",2.24863852028033,0.103858120835777
"13",-0.59632586170222,-0.91318760384719,"Pods","Cardenolides",2.24863852028033,0.242172043149058
"14",-0.313529326502462,-0.0332131844823672,"Pods","LMA",2.24863852028033,0.00463093879600552
"15",8.55209840487214e-05,23.7462365591398,"Seedlings","mean",2.24863852028033,0.000903124935233338
"16",0.000135283514839246,8.49672370937776,"Seedlings","sd",2.24863852028033,0.000511183383925703
"17",1253.84871295621,0.000526806718247335,"Seedlings","seedling.emergence",2.24863852028033,0.293749270811549
"18",0.00309715829962895,213.271604938272,"Seedlings","seeds.per.pod",2.24863852028033,0.293749268880892
"19",1.01268529095203,0.848420252848311,"Clonal","a",2.24863852028033,0.382090186064309
"20",2.24671401995334,-0.390316675940901,"Clonal","b",2.24863852028033,-0.389982622884485
"21",0.029615497638376,0.848420252848311,"Budlings","mean",2.24863852028033,0.0111740449912097
"22",0.0275023681118738,-0.390316675940901,"Budlings","sd",2.24863852028033,-0.00477383661496263
"23",-0.460524875144132,0.769672601952901,"Herbivory","pmunch",2.24863852028033,-0.157630217449104
"24",-0.602286214235156,0.600363174592342,"Herbivory","mean",2.24863852028033,-0.160804175651293
"25",0.161731619079866,0.849513785383797,"Herbivory","sd",2.24863852028033,0.0611006343178978
"26",-0.6199388211558,1.58241379310345,"Cardenolides","mean",2.24863852028033,-0.436263869283416
"27",0.332885568003956,0.832229681379108,"Cardenolides","sd",2.24863852028033,0.123202216673358
"28",-0.0166269324891612,51.5481512605042,"LMA","mean",2.24863852028033,-0.381158475770764
"29",0.00582873648278354,19.7174604815799,"LMA","sd",2.24863852028033,0.0511099850955592
"30",0.102324611190517,-8.04991301151895,"Flowering","(Intercept)",2.18294958638177,-0.377335429164192
"31",6.95988545234117,0.123484728466863,"Flowering","h_apical",2.18294958638177,0.393705640572002
"32",0.033697226588112,1.1399061373165,"Flowering","herb_avg",2.18294958638177,0.0175962265175353
"33",0.132809574092614,-0.487627623911512,"Flowering","Cardenolides",2.18294958638177,-0.0296670236690272
"34",0.222551415358547,-2.68528536205425,"Survival","(Intercept)",2.18294958638177,-0.273764479809772
"35",0.0457335671029395,0.00759739456528951,"Survival","h_apical",2.18294958638177,0.000159168107374885
"36",-0.0354880031047301,2.5102230754831,"Survival","herb_avg",2.18294958638177,-0.0408084569850116
"37",-0.0889320728248171,0.228947717544313,"Survival","Cardenolides",2.18294958638177,-0.00932719436891549
"38",-0.178688882671427,0.0353408263955052,"Survival","LMA",2.18294958638177,-0.00289288072463679
"39",0.651902671807128,1.58371292987804,"Pods","(Intercept)",2.18294958638177,0.472950313101015
"40",0.219430008189336,0.0109918246003511,"Pods","h_apical",2.18294958638177,0.00110489778468432
"41",-0.0595707495124485,-1.03344747333693,"Pods","herb_avg",2.18294958638177,0.02820186089156
"42",-0.475605136458312,-0.571737834380792,"Pods","Cardenolides",2.18294958638177,0.124566069887928
"43",-0.189871953961365,-0.0322353428845385,"Pods","LMA",2.18294958638177,0.00280381534153831
"44",0.000602041425117351,24.4951219512195,"Seedlings","mean",2.18294958638177,0.00675557430182284
"45",0.000642601806399484,8.45355896244117,"Seedlings","sd",2.18294958638177,0.00248850101425072
"46",1044.78767943389,0.000623957082045434,"Seedlings","seedling.emergence",2.18294958638177,0.29863386487872
"47",0.00313377541331112,208.024691358025,"Seedlings","seeds.per.pod",2.18294958638177,0.29863386090374
"48",0.911259501906177,0.867441205975316,"Clonal","a",2.18294958638177,0.362108243919709
"49",2.12238891158756,-0.440789954387631,"Clonal","b",2.18294958638177,-0.428561299522325
"50",0.0208583805894865,0.867441205975316,"Budlings","mean",2.18294958638177,0.00828851885820506
"51",0.00881632117461763,-0.440789954387631,"Budlings","sd",2.18294958638177,-0.00178022700692217
"52",-0.057393613815575,0.790552077404667,"Herbivory","pmunch",2.18294958638177,-0.0207850153364599
"53",-0.118422136994833,0.627805970293079,"Herbivory","mean",2.18294958638177,-0.0340576461701296
"54",-0.00718540062501757,0.927554775553388,"Herbivory","sd",2.18294958638177,-0.00305314089962394
"55",-0.338025499037046,1.56418103448276,"Cardenolides","mean",2.18294958638177,-0.242210391877024
"56",0.0826377391094274,0.831172428054222,"Cardenolides","sd",2.18294958638177,0.0314648632716897
"57",-0.0128358699183732,55.4213025210084,"LMA","mean",2.18294958638177,-0.325880466642191
